entity_id,name,canonical,entity_type,context,source,source_url
PV_0016_V113,PLB,plb,Disease,Oomycete disease of potato caused by Phytophthora infestans. Causes dark water-soaked lesions on leaves and tuber rot. The same pathogen that caused the 1840s Irish Famine.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0016_V114,Phytophthora blight of potato,phytophthora blight of potato,Disease,Oomycete disease of potato caused by Phytophthora infestans. Causes dark water-soaked lesions on leaves and tuber rot. The same pathogen that caused the 1840s Irish Famine.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0016_V111,Late Blight of Potato,late blight of potato,Disease,Oomycete disease of potato caused by Phytophthora infestans. Causes dark water-soaked lesions on leaves and tuber rot. The same pathogen that caused the 1840s Irish Famine.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0016_V115,potato blight,potato blight,Disease,Oomycete disease of potato caused by Phytophthora infestans. Causes dark water-soaked lesions on leaves and tuber rot. The same pathogen that caused the 1840s Irish Famine.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0031_V206,RICE BACTERIAL BLIGHT,rice bacterial blight,Disease,"Bacterial disease of rice caused by Xanthomonas oryzae pv. oryzae. One of the most serious rice diseases. Causes wilting and yellowing of leaves, starting from leaf tips.",plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0031_V207,bacterial leaf blight of rice,bacterial leaf blight of rice,Disease,"Bacterial disease of rice caused by Xanthomonas oryzae pv. oryzae. One of the most serious rice diseases. Causes wilting and yellowing of leaves, starting from leaf tips.",plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0031_V209,rice blight,rice blight,Disease,"Bacterial disease of rice caused by Xanthomonas oryzae pv. oryzae. One of the most serious rice diseases. Causes wilting and yellowing of leaves, starting from leaf tips.",plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0031_V208,BLB,blb,Disease,"Bacterial disease of rice caused by Xanthomonas oryzae pv. oryzae. One of the most serious rice diseases. Causes wilting and yellowing of leaves, starting from leaf tips.",plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0031_V210,Xoo blight,xoo blight,Disease,"Bacterial disease of rice caused by Xanthomonas oryzae pv. oryzae. One of the most serious rice diseases. Causes wilting and yellowing of leaves, starting from leaf tips.",plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0022_V150,Citrus Greening,citrus greening,Disease,"Bacterial disease of citrus caused by Candidatus Liberibacter asiaticus, transmitted by Asian citrus psyllid. Causes yellowing, misshapen bitter fruit. No cure exists.",plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
